h3,m01,m02,m03,m04,m05,m06,m07,m08,m09,m10,m11,m12,confidence
8739716f3ffffff,0.00361,0.00603,0.0188,0.12,0.26,0.329,1.08,1.22,1.58,0.978,0.336,0.0151,high
8739716f4ffffff,0.00319,0.00532,0.0166,0.106,0.229,0.29,0.955,1.07,1.39,0.861,0.297,0.0133,low
8739716f5ffffff,0.00359,0.00599,0.0187,0.119,0.258,0.327,1.08,1.21,1.56,0.97,0.334,0.015,medium
8739716f6ffffff,0.00304,0.00507,0.0158,0.101,0.219,0.277,0.912,1.02,1.32,0.822,0.283,0.0127,low
873971700ffffff,0.00103,0.00172,0.00536,0.0337,0.0714,0.0871,0.294,0.335,0.422,0.263,0.0946,0.00429,low
873971701ffffff,0.00132,0.0022,0.00688,0.0432,0.0913,0.112,0.379,0.43,0.538,0.335,0.121,0.0055,low
873971702ffffff,0.00125,0.00208,0.0065,0.041,0.0871,0.106,0.355,0.404,0.515,0.323,0.115,0.0052,low
873971703ffffff,0.00124,0.00206,0.00645,0.0405,0.0856,0.105,0.355,0.403,0.505,0.314,0.113,0.00516,low
873971704ffffff,0.00142,0.00236,0.00738,0.0466,0.0989,0.12,0.402,0.457,0.584,0.367,0.131,0.0059,low
873971705ffffff,0.00144,0.00241,0.00751,0.0472,0.0997,0.122,0.413,0.469,0.587,0.365,0.132,0.00601,low
873971706ffffff,0.00104,0.00174,0.00544,0.0343,0.0729,0.0883,0.297,0.338,0.432,0.271,0.0964,0.00435,low
873971708ffffff,0.00178,0.00298,0.0093,0.0584,0.123,0.151,0.511,0.58,0.726,0.452,0.163,0.00743,low
873971709ffffff,0.00194,0.00325,0.0101,0.0634,0.133,0.164,0.558,0.633,0.785,0.485,0.177,0.00811,medium
87397170affffff,0.00156,0.0026,0.00812,0.051,0.108,0.132,0.447,0.507,0.636,0.395,0.143,0.0065,low
87397170bffffff,0.00159,0.00266,0.00829,0.052,0.11,0.134,0.457,0.518,0.647,0.402,0.146,0.00663,low
87397170cffffff,0.00164,0.00273,0.00853,0.0536,0.113,0.139,0.469,0.533,0.667,0.415,0.15,0.00682,low
87397170dffffff,0.0024,0.00401,0.0125,0.0783,0.165,0.202,0.671,0.759,0.945,0.596,0.218,0.01,low
87397170effffff,0.00149,0.0025,0.00779,0.0489,0.103,0.127,0.429,0.487,0.61,0.379,0.137,0.00623,low
873971710ffffff,0.00127,0.00212,0.00661,0.0418,0.0886,0.107,0.361,0.411,0.525,0.329,0.117,0.00529,medium
873971711ffffff,0.00128,0.00214,0.00669,0.0422,0.0896,0.109,0.365,0.415,0.53,0.333,0.119,0.00535,low
873971712ffffff,0.0012,0.00199,0.00623,0.0394,0.0837,0.102,0.34,0.388,0.493,0.311,0.111,0.00498,medium
873971713ffffff,0.00148,0.00248,0.00773,0.0489,0.104,0.126,0.422,0.48,0.612,0.385,0.137,0.00618,low
873971714ffffff,0.00108,0.0018,0.00562,0.0355,0.0753,0.0912,0.307,0.349,0.446,0.28,0.0996,0.00449,low
873971715ffffff,0.00118,0.00197,0.00615,0.0388,0.0824,0.0999,0.336,0.382,0.488,0.306,0.109,0.00492,low
873971716ffffff,0.00121,0.00202,0.00632,0.0399,0.0847,0.103,0.345,0.393,0.501,0.314,0.112,0.00505,medium
873971718ffffff,0.00155,0.00258,0.00806,0.0506,0.107,0.131,0.443,0.503,0.63,0.392,0.142,0.00644,low
873971719ffffff,0.00163,0.00272,0.00851,0.0534,0.113,0.138,0.468,0.532,0.666,0.414,0.15,0.00681,low
87397171affffff,0.00148,0.00246,0.00769,0.0487,0.104,0.128,0.425,0.486,0.605,0.385,0.136,0.00615,low
87397171bffffff,0.00169,0.00282,0.0088,0.0556,0.119,0.146,0.485,0.554,0.691,0.439,0.156,0.00704,low
87397171cffffff,0.00166,0.00278,0.00868,0.0545,0.115,0.141,0.476,0.54,0.678,0.423,0.153,0.00694,low
87397171dffffff,0.0015,0.00251,0.00785,0.0493,0.104,0.127,0.432,0.49,0.614,0.382,0.138,0.00627,low
87397171effffff,0.00128,0.00213,0.00665,0.0419,0.0887,0.108,0.365,0.415,0.524,0.327,0.117,0.00532,low
873971720ffffff,0.00144,0.00241,0.00753,0.0475,0.1,0.119,0.408,0.461,0.603,0.37,0.133,0.00601,low
873971721ffffff,0.00134,0.00225,0.00702,0.044,0.0929,0.111,0.385,0.431,0.557,0.341,0.124,0.00561,low
873971722ffffff,9.65e-4,0.00161,0.00504,0.0318,0.0672,0.0802,0.274,0.31,0.404,0.248,0.0892,0.00402,low
873971723ffffff,0.00117,0.00196,0.00613,0.0386,0.0815,0.0972,0.335,0.377,0.489,0.3,0.108,0.0049,low
873971724ffffff,0.00108,0.0018,0.00562,0.0354,0.0748,0.0889,0.305,0.345,0.451,0.276,0.0994,0.00448,low
873971725ffffff,0.00146,0.00244,0.00763,0.048,0.102,0.121,0.415,0.468,0.611,0.374,0.135,0.00609,low
873971726ffffff,0.00117,0.00195,0.00609,0.0384,0.0812,0.0964,0.33,0.373,0.488,0.299,0.108,0.00486,low
873971728ffffff,0.00147,0.00245,0.00765,0.0479,0.101,0.121,0.42,0.47,0.606,0.37,0.135,0.00611,low
873971729ffffff,0.00161,0.00268,0.00838,0.0525,0.111,0.132,0.461,0.515,0.663,0.406,0.147,0.0067,low
87397172affffff,0.00126,0.00211,0.0066,0.0414,0.0875,0.107,0.363,0.412,0.517,0.321,0.116,0.00527,low
87397172bffffff,0.00146,0.00244,0.00762,0.0478,0.101,0.122,0.419,0.473,0.599,0.37,0.134,0.0061,low
87397172cffffff,0.00142,0.00237,0.0074,0.0464,0.0979,0.117,0.407,0.455,0.586,0.359,0.13,0.00592,low
87397172dffffff,0.00156,0.0026,0.00813,0.051,0.107,0.128,0.447,0.5,0.644,0.394,0.143,0.0065,low
87397172effffff,0.00245,0.00409,0.0128,0.0798,0.168,0.201,0.688,0.769,0.983,0.608,0.223,0.0102,low
873971730ffffff,0.00105,0.00175,0.00548,0.0346,0.0734,0.089,0.299,0.341,0.435,0.273,0.0971,0.00438,low
873971731ffffff,0.00116,0.00194,0.00604,0.0382,0.081,0.0982,0.33,0.376,0.48,0.301,0.107,0.00483,low
873971732ffffff,0.00126,0.0021,0.00657,0.0415,0.088,0.107,0.358,0.408,0.521,0.327,0.116,0.00525,medium
873971733ffffff,0.00126,0.0021,0.00656,0.0414,0.0879,0.107,0.358,0.408,0.52,0.326,0.116,0.00524,low
873971734ffffff,9.9e-4,0.00165,0.00516,0.0326,0.069,0.0825,0.281,0.318,0.413,0.255,0.0914,0.00413,low
873971735ffffff,0.00105,0.00175,0.00547,0.0345,0.073,0.0872,0.297,0.337,0.438,0.27,0.0969,0.00437,low
873971736ffffff,9.55e-4,0.00159,0.00498,0.0314,0.0667,0.0807,0.27,0.309,0.395,0.248,0.0883,0.00398,low
873971740ffffff,0.00286,0.00477,0.0149,0.0927,0.194,0.238,0.817,0.927,1.13,0.697,0.259,0.0119,medium
873971741ffffff,0.00292,0.00488,0.0152,0.0943,0.196,0.241,0.829,0.939,1.14,0.701,0.264,0.0122,low
873971742ffffff,0.00276,0.00461,0.0144,0.0897,0.188,0.231,0.792,0.899,1.1,0.679,0.251,0.0115,medium
873971743ffffff,0.00314,0.00524,0.0164,0.101,0.211,0.259,0.89,1.01,1.23,0.755,0.284,0.0131,medium
873971744ffffff,0.00215,0.00358,0.0112,0.0699,0.146,0.176,0.614,0.689,0.866,0.529,0.196,0.00895,medium
873971745ffffff,0.00266,0.00445,0.0139,0.0864,0.18,0.216,0.76,0.851,1.05,0.649,0.242,0.0111,low
873971746ffffff,0.00229,0.00383,0.012,0.0745,0.156,0.192,0.658,0.747,0.918,0.564,0.209,0.00956,medium
873971748ffffff,0.00351,0.00587,0.0183,0.113,0.236,0.29,0.993,1.13,1.36,0.84,0.317,0.0146,medium
873971749ffffff,0.00301,0.00503,0.0157,0.0974,0.203,0.249,0.858,0.973,1.18,0.726,0.273,0.0126,medium
87397174affffff,0.00364,0.00608,0.019,0.118,0.245,0.3,1.03,1.17,1.42,0.872,0.329,0.0152,medium
87397174bffffff,0.00409,0.00683,0.0213,0.132,0.274,0.337,1.15,1.3,1.58,0.974,0.368,0.017,medium
87397174cffffff,0.00368,0.00615,0.0192,0.119,0.248,0.303,1.04,1.18,1.43,0.884,0.333,0.0154,medium
87397174dffffff,0.00348,0.00582,0.0182,0.113,0.235,0.285,0.989,1.11,1.36,0.839,0.315,0.0145,medium
87397174effffff,0.00431,0.0072,0.0225,0.139,0.287,0.352,1.17,1.33,1.6,1,0.383,0.018,low
873971750ffffff,0.00199,0.00332,0.0104,0.0647,0.136,0.167,0.572,0.649,0.798,0.49,0.181,0.0083,low
873971751ffffff,0.0024,0.00401,0.0125,0.078,0.164,0.201,0.689,0.782,0.961,0.591,0.218,0.01,medium
873971752ffffff,0.00205,0.00343,0.0107,0.0667,0.14,0.172,0.59,0.669,0.823,0.506,0.187,0.00856,low
873971753ffffff,0.00224,0.00374,0.0117,0.0727,0.152,0.188,0.642,0.729,0.896,0.551,0.203,0.00933,low
873971754ffffff,0.00199,0.00332,0.0104,0.0646,0.136,0.167,0.571,0.649,0.797,0.49,0.181,0.00829,low
873971755ffffff,0.00226,0.00378,0.0118,0.0736,0.154,0.19,0.651,0.739,0.908,0.558,0.206,0.00945,low
873971756ffffff,0.00229,0.00383,0.012,0.0746,0.156,0.192,0.659,0.748,0.919,0.565,0.209,0.00957,medium
873971758ffffff,0.00327,0.00547,0.0171,0.106,0.22,0.27,0.927,1.05,1.28,0.785,0.296,0.0136,medium
873971759ffffff,0.00461,0.0077,0.024,0.149,0.31,0.38,1.3,1.48,1.79,1.1,0.416,0.0192,medium
87397175affffff,0.00338,0.00564,0.0176,0.109,0.227,0.279,0.958,1.09,1.32,0.811,0.305,0.0141,medium
87397175bffffff,0.00477,0.00797,0.0249,0.154,0.321,0.394,1.35,1.53,1.85,1.14,0.43,0.0199,medium
87397175cffffff,0.00272,0.00455,0.0142,0.0882,0.184,0.226,0.777,0.882,1.08,0.661,0.247,0.0114,medium
87397175dffffff,0.00302,0.00504,0.0158,0.0976,0.203,0.249,0.857,0.973,1.18,0.725,0.273,0.0126,medium
87397175effffff,0.00272,0.00455,0.0142,0.0884,0.185,0.227,0.779,0.884,1.08,0.666,0.247,0.0114,medium
873971760ffffff,0.00212,0.00355,0.0111,0.0692,0.145,0.174,0.607,0.681,0.859,0.524,0.194,0.00886,medium
873971761ffffff,0.00242,0.00404,0.0126,0.0786,0.164,0.197,0.691,0.773,0.964,0.592,0.22,0.0101,low
873971762ffffff,0.00208,0.00348,0.0109,0.0679,0.142,0.17,0.596,0.668,0.842,0.515,0.19,0.0087,medium
873971763ffffff,0.00224,0.00375,0.0117,0.073,0.153,0.183,0.641,0.718,0.905,0.553,0.204,0.00935,medium
873971764ffffff,0.00216,0.00362,0.0113,0.0705,0.148,0.177,0.619,0.693,0.874,0.534,0.197,0.00903,medium
873971765ffffff,0.00256,0.00428,0.0134,0.0835,0.175,0.209,0.732,0.82,1.03,0.632,0.234,0.0107,medium
873971766ffffff,0.00205,0.00343,0.0107,0.0669,0.14,0.168,0.586,0.656,0.827,0.506,0.187,0.00857,medium
873971768ffffff,0.00264,0.00442,0.0138,0.0857,0.179,0.214,0.755,0.844,1.04,0.642,0.24,0.011,medium
873971769ffffff,0.00282,0.00471,0.0147,0.0915,0.191,0.229,0.806,0.901,1.11,0.685,0.256,0.0118,low
87397176affffff,0.00266,0.00445,0.0139,0.0864,0.18,0.216,0.761,0.851,1.05,0.647,0.242,0.0111,medium
87397176bffffff,0.00392,0.00655,0.0204,0.126,0.262,0.313,1.07,1.19,1.45,0.916,0.348,0.0163,low
87397176cffffff,0.00256,0.00427,0.0134,0.083,0.173,0.207,0.731,0.818,1.01,0.622,0.232,0.0107,low
87397176dffffff,0.00248,0.00415,0.013,0.0805,0.168,0.201,0.71,0.794,0.978,0.603,0.225,0.0104,low
87397176effffff,0.00285,0.00477,0.0149,0.0926,0.193,0.231,0.815,0.911,1.12,0.693,0.259,0.0119,medium
873971770ffffff,0.00176,0.00294,0.00919,0.0573,0.12,0.146,0.505,0.569,0.709,0.434,0.16,0.00735,medium
873971771ffffff,0.00185,0.00309,0.00964,0.0601,0.126,0.152,0.529,0.595,0.745,0.456,0.168,0.00771,medium
873971772ffffff,0.00196,0.00328,0.0102,0.0639,0.134,0.165,0.565,0.641,0.788,0.484,0.179,0.0082,low
873971773ffffff,0.00198,0.00331,0.0103,0.0644,0.135,0.166,0.569,0.646,0.794,0.488,0.18,0.00826,medium
873971774ffffff,0.0019,0.00317,0.00992,0.062,0.13,0.156,0.544,0.609,0.772,0.472,0.174,0.00793,medium
873971775ffffff,0.00314,0.00525,0.0164,0.102,0.213,0.255,0.875,0.978,1.23,0.759,0.283,0.0131,medium
873971776ffffff,0.00162,0.00271,0.00848,0.0531,0.112,0.135,0.466,0.526,0.663,0.408,0.149,0.00678,low
873971780ffffff,0.00179,0.00299,0.00932,0.0591,0.126,0.154,0.496,0.569,0.708,0.463,0.164,0.00745,low
873971781ffffff,0.00134,0.00223,0.00696,0.0442,0.0946,0.116,0.378,0.435,0.544,0.352,0.124,0.00556,low
873971782ffffff,0.00137,0.00229,0.00714,0.0453,0.0971,0.119,0.388,0.446,0.556,0.36,0.127,0.00571,low
873971783ffffff,0.00144,0.0024,0.00749,0.0476,0.102,0.125,0.407,0.468,0.584,0.378,0.133,0.00599,low
873971784ffffff,0.00234,0.0039,0.0122,0.0771,0.165,0.201,0.65,0.746,0.929,0.606,0.215,0.00972,medium
873971785ffffff,0.00125,0.00208,0.0065,0.0413,0.0884,0.108,0.353,0.406,0.507,0.329,0.116,0.0052,low
873971786ffffff,0.0011,0.00184,0.00574,0.0364,0.0778,0.0951,0.311,0.358,0.448,0.29,0.102,0.00459,low
873971788ffffff,0.00166,0.00276,0.00862,0.0547,0.117,0.144,0.474,0.543,0.676,0.435,0.153,0.00689,medium
873971789ffffff,0.00188,0.00314,0.0098,0.0621,0.133,0.164,0.541,0.619,0.77,0.493,0.174,0.00784,low
87397178affffff,0.00229,0.00382,0.0119,0.0754,0.162,0.2,0.638,0.728,0.896,0.587,0.209,0.00953,medium
87397178bffffff,0.00183,0.00305,0.00953,0.0605,0.13,0.163,0.53,0.606,0.75,0.484,0.17,0.00762,medium
87397178cffffff,0.00225,0.00374,0.0117,0.0741,0.158,0.193,0.622,0.713,0.886,0.58,0.206,0.00935,low
87397178dffffff,0.00172,0.00287,0.00896,0.0568,0.121,0.15,0.495,0.567,0.705,0.451,0.159,0.00716,low
87397178effffff,0.00146,0.00243,0.00759,0.0482,0.103,0.126,0.412,0.474,0.593,0.384,0.135,0.00607,medium
873971790ffffff,0.00119,0.00198,0.00619,0.0392,0.0837,0.103,0.333,0.383,0.475,0.308,0.11,0.00495,low
873971791ffffff,0.00154,0.00257,0.00803,0.051,0.109,0.136,0.438,0.501,0.618,0.401,0.142,0.00643,low
873971792ffffff,0.00119,0.00198,0.00617,0.0391,0.0833,0.103,0.331,0.38,0.472,0.306,0.109,0.00494,low
873971793ffffff,0.00135,0.00225,0.00701,0.0445,0.0954,0.118,0.382,0.437,0.54,0.35,0.124,0.00561,low
873971794ffffff,0.00126,0.0021,0.00654,0.0415,0.0884,0.108,0.352,0.406,0.506,0.327,0.116,0.00524,low
873971795ffffff,0.00128,0.00214,0.00668,0.0423,0.0904,0.111,0.36,0.415,0.517,0.334,0.119,0.00534,low
873971796ffffff,0.00146,0.00244,0.00762,0.0483,0.103,0.127,0.41,0.471,0.585,0.379,0.135,0.0061,low
873971798ffffff,0.00161,0.00268,0.00837,0.0531,0.114,0.142,0.457,0.522,0.644,0.418,0.148,0.0067,medium
873971799ffffff,0.00145,0.00241,0.00753,0.0478,0.103,0.128,0.412,0.47,0.581,0.377,0.134,0.00603,medium
87397179affffff,0.00149,0.00248,0.00775,0.0492,0.106,0.131,0.423,0.483,0.597,0.388,0.137,0.0062,low
87397179bffffff,0.00148,0.00246,0.00768,0.0487,0.105,0.13,0.419,0.479,0.591,0.384,0.136,0.00615,medium
87397179cffffff,0.00165,0.00274,0.00856,0.0543,0.117,0.145,0.467,0.533,0.658,0.428,0.152,0.00685,medium
87397179dffffff,0.00146,0.00244,0.0076,0.0483,0.104,0.129,0.415,0.475,0.587,0.381,0.135,0.00608,medium
87397179effffff,0.00163,0.00272,0.0085,0.054,0.116,0.144,0.464,0.53,0.655,0.425,0.151,0.00681,medium
8739717a0ffffff,0.00277,0.00462,0.0144,0.0912,0.194,0.237,0.757,0.868,1.08,0.707,0.253,0.0115,medium
8739717a1ffffff,0.00104,0.00174,0.00542,0.0344,0.0737,0.0901,0.295,0.339,0.424,0.274,0.0965,0.00433,medium
8739717a2ffffff,0.00117,0.00194,0.00607,0.0385,0.082,0.1,0.327,0.377,0.472,0.305,0.108,0.00485,medium
8739717a3ffffff,0.00132,0.00221,0.00689,0.0438,0.0937,0.114,0.374,0.43,0.538,0.348,0.123,0.00551,medium
8739717a4ffffff,0.00116,0.00194,0.00605,0.0383,0.0815,0.099,0.325,0.375,0.473,0.303,0.108,0.00484,medium
8739717a5ffffff,0.0013,0.00217,0.00679,0.0429,0.0913,0.111,0.37,0.422,0.536,0.339,0.12,0.00543,medium
8739717a6ffffff,0.00204,0.0034,0.0106,0.0671,0.143,0.174,0.559,0.647,0.805,0.524,0.187,0.00849,medium
8739717a8ffffff,0.00135,0.00225,0.00703,0.0446,0.0955,0.117,0.382,0.439,0.549,0.355,0.125,0.00562,low
8739717a9ffffff,0.00149,0.00249,0.00778,0.0493,0.106,0.13,0.429,0.491,0.611,0.392,0.138,0.00622,low
8739717aaffffff,0.00157,0.00261,0.00815,0.0518,0.111,0.135,0.442,0.508,0.635,0.412,0.145,0.00652,low
8739717abffffff,0.00172,0.00287,0.00895,0.0568,0.121,0.149,0.488,0.56,0.699,0.451,0.159,0.00716,low
8739717acffffff,0.0014,0.00234,0.00731,0.0464,0.0993,0.121,0.397,0.456,0.57,0.369,0.13,0.00584,medium
8739717adffffff,0.0014,0.00234,0.00731,0.0464,0.0992,0.121,0.398,0.458,0.572,0.369,0.13,0.00584,low
8739717aeffffff,0.00121,0.00202,0.00632,0.0401,0.0859,0.105,0.344,0.395,0.494,0.32,0.113,0.00505,low
8739717b0ffffff,0.00105,0.00175,0.00546,0.0346,0.0736,0.0899,0.293,0.34,0.425,0.274,0.097,0.00437,low
8739717b1ffffff,9.63e-4,0.00161,0.00501,0.0318,0.0676,0.0826,0.269,0.312,0.391,0.252,0.0891,0.00401,low
8739717b2ffffff,0.0011,0.00183,0.00571,0.0362,0.077,0.094,0.306,0.355,0.444,0.286,0.101,0.00457,low
8739717b3ffffff,0.00114,0.00191,0.00596,0.0378,0.0804,0.0981,0.32,0.371,0.464,0.299,0.106,0.00477,low
8739717b4ffffff,0.0012,0.00199,0.00622,0.0394,0.0839,0.102,0.334,0.387,0.484,0.312,0.111,0.00498,low
8739717b5ffffff,0.00105,0.00176,0.00548,0.0348,0.074,0.0903,0.294,0.341,0.427,0.275,0.0976,0.00439,medium
8739717b6ffffff,0.00105,0.00175,0.00547,0.0347,0.0738,0.0901,0.294,0.34,0.426,0.275,0.0973,0.00438,low
873971843ffffff,0.00469,0.00783,0.0245,0.153,0.322,0.38,1.29,1.5,1.81,1.14,0.422,0.0196,low
873971848ffffff,0.00545,0.0091,0.0285,0.177,0.374,0.442,1.49,1.73,2.07,1.31,0.488,0.0227,low
873971849ffffff,0.00447,0.00746,0.0234,0.146,0.307,0.363,1.23,1.43,1.72,1.08,0.401,0.0186,low
87397184affffff,0.0048,0.00801,0.0251,0.156,0.33,0.39,1.32,1.54,1.84,1.16,0.431,0.02,low
87397184bffffff,0.00458,0.00765,0.024,0.149,0.314,0.372,1.26,1.47,1.75,1.11,0.411,0.0191,low
87397184cffffff,0.00511,0.00852,0.0267,0.166,0.35,0.414,1.41,1.63,1.96,1.23,0.458,0.0213,low
87397184dffffff,0.00531,0.00886,0.0278,0.173,0.364,0.431,1.46,1.7,2.03,1.28,0.476,0.0221,low
87397184effffff,0.00444,0.00741,0.0232,0.145,0.305,0.36,1.23,1.42,1.7,1.07,0.399,0.0185,low
873971851ffffff,0.00542,0.00906,0.0284,0.177,0.372,0.439,1.49,1.73,2.09,1.31,0.488,0.0226,low
873971853ffffff,0.00538,0.00899,0.0282,0.177,0.371,0.432,1.49,1.71,2.13,1.32,0.487,0.0224,low
873971858ffffff,0.00544,0.00908,0.0285,0.178,0.374,0.438,1.51,1.74,2.14,1.33,0.491,0.0227,low
873971859ffffff,0.00475,0.00793,0.0249,0.156,0.327,0.384,1.33,1.53,1.86,1.16,0.428,0.0198,low
87397185affffff,0.00558,0.00932,0.0292,0.183,0.384,0.448,1.55,1.78,2.21,1.37,0.504,0.0233,low
87397185bffffff,0.00601,0.01,0.0314,0.197,0.413,0.484,1.67,1.91,2.36,1.47,0.541,0.0251,low
87397185cffffff,0.00514,0.00858,0.0269,0.168,0.353,0.416,1.41,1.64,1.97,1.24,0.462,0.0214,low
87397185dffffff,0.00423,0.00706,0.0221,0.138,0.291,0.343,1.17,1.36,1.63,1.02,0.38,0.0176,low
87397185effffff,0.00519,0.00868,0.0272,0.171,0.358,0.417,1.44,1.66,2.05,1.27,0.469,0.0217,low
873971868ffffff,0.00481,0.00803,0.0252,0.157,0.33,0.39,1.32,1.54,1.84,1.16,0.432,0.0201,low
873971869ffffff,0.00533,0.00889,0.0279,0.173,0.366,0.431,1.46,1.7,2.03,1.28,0.477,0.0222,low
87397186affffff,0.00484,0.00808,0.0253,0.157,0.332,0.393,1.34,1.55,1.86,1.17,0.434,0.0202,low
87397186bffffff,0.00431,0.00719,0.0225,0.14,0.296,0.35,1.19,1.38,1.66,1.04,0.387,0.018,low
87397186dffffff,0.00525,0.00876,0.0274,0.17,0.36,0.421,1.42,1.66,1.99,1.26,0.469,0.0219,low
8739718c3ffffff,0.0512,0.0852,0.262,1.48,2.85,3.16,8.46,9.35,11.4,7.91,3.4,0.208,low
8739718c8ffffff,0.00888,0.0148,0.0464,0.293,0.614,0.701,2.42,2.75,3.52,2.19,0.805,0.037,low
8739718c9ffffff,0.00808,0.0135,0.0423,0.266,0.558,0.641,2.22,2.52,3.2,1.99,0.732,0.0337,low
8739718caffffff,0.00993,0.0166,0.0519,0.328,0.687,0.781,2.7,3.06,3.94,2.45,0.901,0.0414,low
8739718cbffffff,0.0146,0.0245,0.0763,0.473,0.978,1.11,3.55,3.98,5,3.26,1.25,0.0608,low
8739718ccffffff,0.00924,0.0154,0.0483,0.303,0.635,0.739,2.53,2.9,3.6,2.25,0.831,0.0385,low
8739718cdffffff,0.00767,0.0128,0.0401,0.252,0.527,0.614,2.11,2.42,3,1.87,0.691,0.032,low
8739718ceffffff,0.013,0.0217,0.0678,0.427,0.894,1.02,3.49,3.95,5.05,3.17,1.17,0.0541,low
8739718d1ffffff,0.013,0.0218,0.0683,0.431,0.906,1.02,3.49,3.97,5.13,3.22,1.18,0.0544,low
8739718d2ffffff,0.0162,0.0271,0.0849,0.535,1.12,1.26,4.27,4.84,6.22,3.94,1.46,0.0676,low
8739718d3ffffff,0.0177,0.0296,0.0927,0.583,1.22,1.36,4.54,5.15,6.57,4.21,1.57,0.0738,low
8739718d8ffffff,0.0271,0.0452,0.141,0.876,1.81,2.05,6.53,7.32,9.15,6.02,2.32,0.112,low
8739718d9ffffff,0.011,0.0184,0.0577,0.363,0.762,0.866,2.98,3.38,4.34,2.71,0.998,0.046,low
8739718daffffff,0.0149,0.0249,0.0779,0.49,1.02,1.16,3.93,4.44,5.67,3.59,1.33,0.0621,medium
8739718dbffffff,0.0183,0.0305,0.0953,0.597,1.24,1.41,4.66,5.26,6.66,4.28,1.61,0.076,low
8739718dcffffff,0.0206,0.0345,0.108,0.676,1.41,1.6,5.36,6.05,7.69,4.91,1.83,0.0859,low
8739718ddffffff,0.0223,0.0373,0.117,0.729,1.52,1.72,5.7,6.42,8.12,5.23,1.97,0.0928,low
8739718deffffff,0.015,0.0251,0.0786,0.495,1.04,1.17,3.96,4.49,5.77,3.65,1.35,0.0626,low
8739718e8ffffff,0.00748,0.0125,0.0391,0.246,0.515,0.599,2.06,2.37,2.94,1.83,0.675,0.0312,low
8739718e9ffffff,0.00716,0.012,0.0375,0.235,0.493,0.574,1.98,2.27,2.82,1.75,0.646,0.0299,low
8739718ebffffff,0.00924,0.0154,0.0483,0.303,0.635,0.739,2.54,2.91,3.6,2.25,0.831,0.0385,low
8739718edffffff,0.00556,0.00929,0.0291,0.183,0.383,0.446,1.54,1.77,2.2,1.36,0.502,0.0232,low
873971a00ffffff,0.00392,0.00655,0.0205,0.129,0.271,0.317,1.13,1.28,1.57,0.97,0.355,0.0164,low
873971a01ffffff,0.00397,0.00663,0.0208,0.131,0.275,0.323,1.15,1.31,1.6,0.985,0.359,0.0166,low
873971a02ffffff,0.00464,0.00775,0.0243,0.152,0.32,0.374,1.33,1.51,1.85,1.15,0.419,0.0193,medium
873971a03ffffff,0.00412,0.00688,0.0215,0.136,0.285,0.334,1.19,1.35,1.66,1.02,0.373,0.0172,low
873971a04ffffff,0.00389,0.0065,0.0204,0.128,0.269,0.315,1.12,1.27,1.56,0.964,0.352,0.0162,low
873971a05ffffff,0.00367,0.00614,0.0192,0.121,0.254,0.298,1.06,1.2,1.48,0.911,0.333,0.0153,low
873971a06ffffff,0.00412,0.00689,0.0216,0.136,0.285,0.333,1.18,1.34,1.65,1.02,0.373,0.0172,medium
873971a08ffffff,0.00412,0.00688,0.0215,0.136,0.285,0.334,1.19,1.35,1.65,1.02,0.372,0.0172,medium
873971a09ffffff,0.00686,0.0115,0.0358,0.223,0.466,0.544,1.84,2.08,2.5,1.59,0.598,0.0285,medium
873971a0affffff,0.00418,0.00697,0.0218,0.137,0.289,0.339,1.21,1.37,1.67,1.03,0.376,0.0174,medium
873971a0bffffff,0.00303,0.00506,0.0158,0.0998,0.21,0.246,0.883,1,1.23,0.753,0.274,0.0126,medium
873971a0cffffff,0.00386,0.00645,0.0202,0.127,0.267,0.314,1.12,1.27,1.56,0.958,0.349,0.0161,low
873971a0dffffff,0.00391,0.00653,0.0204,0.129,0.271,0.318,1.13,1.29,1.57,0.968,0.353,0.0163,medium
873971a0effffff,0.0037,0.00618,0.0194,0.122,0.256,0.301,1.08,1.22,1.49,0.919,0.335,0.0154,medium
873971a10ffffff,0.00434,0.00725,0.0227,0.143,0.301,0.349,1.25,1.41,1.76,1.08,0.393,0.0181,medium
873971a11ffffff,0.00384,0.00641,0.0201,0.126,0.266,0.309,1.11,1.25,1.56,0.957,0.348,0.016,medium
873971a12ffffff,0.00428,0.00715,0.0224,0.142,0.3,0.343,1.24,1.4,1.79,1.09,0.391,0.0178,medium
873971a13ffffff,0.00369,0.00616,0.0193,0.122,0.259,0.296,1.07,1.21,1.55,0.94,0.337,0.0154,medium
873971a14ffffff,0.00689,0.0115,0.036,0.225,0.468,0.546,1.86,2.1,2.55,1.62,0.606,0.0287,medium
873971a15ffffff,0.00433,0.00724,0.0227,0.142,0.299,0.35,1.24,1.41,1.73,1.07,0.392,0.0181,medium
873971a16ffffff,0.00508,0.00848,0.0265,0.167,0.352,0.408,1.46,1.65,2.06,1.27,0.46,0.0212,medium
873971a18ffffff,0.00353,0.0059,0.0185,0.117,0.248,0.285,1.04,1.17,1.47,0.899,0.322,0.0147,medium
873971a19ffffff,0.00332,0.00554,0.0173,0.11,0.233,0.268,0.977,1.1,1.38,0.844,0.303,0.0138,medium
873971a1affffff,0.00392,0.00655,0.0205,0.13,0.275,0.315,1.14,1.29,1.63,0.995,0.357,0.0163,medium
